name,album,artist,release_date,length,popularity,danceability,acousticness,danceability.1,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Wannabe,Spice,Spice Girls,1996-01-01,173026,83,0.768,0.101,0.768,0.864,0.0,0.162,-6.145,0.0324,110.008,4
Forever,Forever,Chris Brown,2008-04-29,278573,79,0.672,0.0368,0.672,0.82,0.000188,0.184,-4.456,0.0459,120.005,4
Dancing Queen,Arrival,ABBA,1976,230693,0,0.539,0.382,0.539,0.884,0.00166,0.76,-6.53,0.0403,100.812,4
Burnin' Up,A Little Bit Longer,Jonas Brothers,2008-08-12,175093,73,0.667,0.0296,0.667,0.954,0.0,0.331,-3.462,0.0817,114.03,4
I Gotta Feeling,THE E.N.D. (THE ENERGY NEVER DIES),Black Eyed Peas,2009-01-01,289133,2,0.743,0.0873,0.743,0.766,0.0,0.509,-6.375,0.0265,127.96,4
I Wanna Dance with Somebody (Who Loves Me),Whitney,Whitney Houston,1987-06-02,291293,83,0.709,0.207,0.709,0.824,0.000307,0.0888,-8.824,0.0453,118.818,4
"Take Me Home, Country Roads","The John Denver Collection, Vol 1: Take Me Home Country Roads",John Denver,1997-06-17,197813,1,0.255,0.546,0.255,0.43,1.87e-05,0.188,-12.564,0.0322,164.267,4
Thunder,Evolve,Imagine Dragons,2017-06-23,187146,87,0.605,0.00671,0.605,0.822,0.134,0.147,-4.833,0.0438,167.997,4
Shut Up and Dance,TALKING IS HARD (Expanded Edition),WALK THE MOON,2014-12-02,199080,64,0.578,0.00701,0.578,0.866,0.0,0.257,-3.804,0.0619,128.038,4
Sweet Caroline,Sweet Caroline,Neil Diamond,1969-06-06,203573,79,0.529,0.611,0.529,0.127,0.000109,0.237,-16.066,0.0274,63.05,4
Ain't No Mountain High Enough,United,Marvin Gaye,1967-08-29,151666,87,0.663,0.43,0.663,0.6,0.0,0.184,-10.87,0.032,129.991,4
24K Magic,24K Magic,Bruno Mars,2016-11-17,225983,82,0.818,0.034,0.818,0.803,0.0,0.153,-4.282,0.0797,106.97,4
Magic (feat. Rivers Cuomo),B.o.B Presents: The Adventures of Bobby Ray,B.o.B,2010-04-27,196133,66,0.549,0.0127,0.549,0.932,0.0,0.347,-4.11,0.343,82.439,4
Don't Stop Believin',Escape (Bonus Track Version),Journey,1981,250986,85,0.5,0.127,0.5,0.748,0.0,0.447,-9.072,0.0363,118.852,4
Home,Up from Below,Edward Sharpe & The Magnetic Zeros,2009-07-14,303200,60,0.542,0.292,0.542,0.589,0.000522,0.177,-6.623,0.0318,111.665,4
"Hey, Soul Sister","Save Me, San Francisco (Golden Gate Edition)",Train,2010-12-01,216773,85,0.673,0.185,0.673,0.886,0.0,0.0826,-4.44,0.0431,97.012,4
Our Own House,Our Own House,MisterWives,2015-02-24,232186,55,0.559,0.00228,0.559,0.76,0.000481,0.052,-4.682,0.0575,125.773,4
Year 3000,Music From Chasing Happiness,Jonas Brothers,2019-05-09,201960,63,0.659,0.0045,0.659,0.857,1.93e-06,0.335,-5.85,0.0437,106.965,4
Party In The U.S.A.,The Time Of Our Lives,Miley Cyrus,2009-01-01,202066,79,0.652,0.00112,0.652,0.698,0.000115,0.0886,-4.667,0.042,96.021,4
All Star,Astro Lounge,Smash Mouth,1999-06-08,200373,81,0.731,0.0395,0.731,0.867,0.0,0.0861,-5.881,0.032,104.019,4
Tonight Tonight,Whatever,Hot Chelle Rae,2011-11-25,200466,71,0.686,0.0764,0.686,0.783,0.0,0.163,-4.977,0.119,99.978,4
Everybody (Backstreet's Back) - Extended Version,Backstreet Boys,Backstreet Boys,1996,287293,60,0.792,0.00609,0.792,0.81,0.000153,0.224,-5.198,0.0368,108.054,4
Heaven Is A Place On Earth,Heaven On Earth,Belinda Carlisle,1987-10-05,247293,58,0.64,0.031,0.64,0.81,2.22e-06,0.0492,-10.19,0.033,122.868,4
Never Gonna Give You Up,Whenever You Need Somebody,Rick Astley,1987-12-08,212826,0,0.727,0.135,0.727,0.939,4.35e-05,0.151,-11.855,0.0369,113.33,4
Kids In America,Kim Wilde,Kim Wilde,1981,205533,71,0.557,0.0953,0.557,0.782,6.75e-06,0.118,-3.899,0.0475,159.621,4
Start Me Up - Remastered 2009,Tattoo You (2009 Re-Mastered),The Rolling Stones,1981-08-24,213066,81,0.631,0.0436,0.631,0.932,0.137,0.0918,-4.142,0.0354,122.429,4
The Longest Time,An Innocent Man,Billy Joel,1983-08-08,217906,68,0.637,0.181,0.637,0.333,0.0,0.147,-9.603,0.0262,84.347,4
